"stop_sequence","trip_id","stop_lat","stop_lon","stop_id","stop_name"
2,"464099443369",41.966488,-87.648792,"3774","4646 N Marine Drive"
2,"464099443401",41.995291,-87.762486,"11428","Caldwell & Spokane"
2,"464099443478",41.978148,-87.656322,"14669","Berwyn & Kenmore"
2,"464099443658",41.984582,-87.768381,"11515","Central & Seminole"
2,"464099444173",41.951955,-87.836418,"5593","Irving Park & Cumberland"
2,"464099444199",41.953682,-87.807192,"11299","Harlem & Forest Preserve Avenue"
2,"464099444415",41.952258,-87.644930,"4886","Lake Shore & Grace"
2,"464099444533",41.888027,-87.779873,"11724","Lake Street & Lombard"
2,"464099444569",41.886716,-87.804497,"16063","South Blvd & Harlem"
2,"464099444947",41.933109,-87.639174,"1148","Sheridan & Diversey"
2,"464099445552",41.932961,-87.639630,"11037","Diversey & Sheridan/Lakeview"
2,"464099471871",42.007876,-87.663797,"1755","Morse & Lakewood"
2,"464099472506",41.998121,-87.658446,"1030","Sheridan & Winthrop"
2,"464099473149",42.060889,-87.750755,"3575","Old Orchard Mall - Bloomingdales"
2,"464099473274",41.961923,-87.649984,"4920","Clarendon & Montrose"
2,"464099473408",42.064366,-87.720472,"14290","Central Street & Lawndale"
2,"464099473425",42.060889,-87.750755,"3575","Old Orchard Mall - Bloomingdales"
2,"464099473550",41.968857,-87.688769,"14592","Western & Lawrence"
2,"464099473569",41.978148,-87.656322,"14669","Berwyn & Kenmore"
2,"464099473570",42.016890,-87.690302,"1692","Western & Fargo"
2,"464099473616",42.047123,-87.684744,"12686","Davis & Maple"
2,"464099473650",41.973472,-87.651148,"4852","Marine Drive & Argyle"
2,"464099473783",42.019282,-87.670587,"14671","Howard & Ashland"
2,"464099474108",41.997327,-87.709050,"1721","Devon & Kedzie"
2,"464099475062",41.983584,-87.668866,"1802","Clark & Bryn Mawr"
2,"464099520507",41.958965,-87.747606,"10200","Cicero & Cullom"
2,"464099520705",41.754341,-87.733927,"15935","76th Street & Ford City Movie Theatre"
2,"464099521895",41.900443,-87.631272,"1897","Clark & Oak"
2,"464099522376",41.894698,-87.772404,"511","Chicago & Mayfield"
2,"464099522798",41.923497,-87.800851,"669","Grand & Sayre"
2,"464099523046",41.917045,-87.660153,"4073","Cortland & Kingsbury"
2,"464099523121",41.916894,-87.756089,"689","Grand & Laramie"
2,"464099523189",41.898075,-87.617975,"5000","Lake Shore & Chestnut/Pearson"
2,"464099523225",41.925381,-87.648967,"1348","Fullerton & Halsted/Lincoln"
2,"464099523232",41.916894,-87.756089,"689","Grand & Laramie"
2,"464099523273",41.988473,-87.728618,"8973","Pulaski & Thorndale"
2,"464099523275",41.923497,-87.800851,"669","Grand & Sayre"
